,Model,Target,Test_Year,Train_Years,Train_Rows,Test_Rows,Train_Time_Seconds,Accuracy,Balanced_Acc,F1,Baseline_Acc,Skill
97,rf,Gold-T+14,2024,2020–2023,999,249,6.9923,0.6907630522088354,0.5,0.4085510688836104,0.6907630522088354,0.0
98,rf,Gold-T+14,2025,2021–2024,997,177,12.4497,0.6101694915254238,0.5623175182481752,0.53789398009762,0.7740112994350282,-0.7249999999999996
99,catboost,Gold-T+14,2015,2011–2014,989,249,53.2984,0.5742971887550201,0.5712475633528264,0.5712475633528264,0.5421686746987951,0.07017543859649136
100,catboost,Gold-T+14,2016,2012–2015,987,247,54.2178,0.46963562753036436,0.5089748703629837,0.4261417043539949,0.5587044534412956,-0.20183486238532128
101,catboost,Gold-T+14,2017,2013–2016,990,246,56.2239,0.4105691056910569,0.5166666666666667,0.31712453335885904,0.6097560975609756,-0.5104166666666666
102,catboost,Gold-T+14,2018,2014–2017,988,247,66.9075,0.5020242914979757,0.4959186404389134,0.4955417185554172,0.5708502024291497,-0.16037735849056597
103,catboost,Gold-T+14,2019,2015–2018,989,248,54.1644,0.5362903225806451,0.5639038710998839,0.5362827829536772,0.6088709677419355,-0.18556701030927847
104,catboost,Gold-T+14,2020,2016–2019,988,251,52.2161,0.601593625498008,0.5271929824561403,0.508998435054773,0.6215139442231076,-0.052631578947368376
105,catboost,Gold-T+14,2021,2017–2020,992,251,54.5226,0.6772908366533864,0.689688341669873,0.6762837353713875,0.549800796812749,0.28318584070796454
106,catboost,Gold-T+14,2022,2018–2021,997,250,56.6018,0.42,0.42439664554125855,0.3751185120063436,0.508,-0.17886178861788624
107,catboost,Gold-T+14,2023,2019–2022,1000,247,57.1606,0.4979757085020243,0.5034098360655738,0.3765673343103729,0.5060728744939271,-0.016393442622950862
108,catboost,Gold-T+14,2024,2020–2023,999,249,55.8185,0.5060240963855421,0.5420190274841438,0.49969779636375516,0.6907630522088354,-0.5974025974025977
109,catboost,Gold-T+14,2025,2021–2024,997,177,59.3157,0.4519774011299435,0.4866788321167883,0.4283288382778943,0.7740112994350282,-1.4249999999999998
110,xgboost,Gold-T+14,2015,2011–2014,989,249,6.5095,0.5140562248995983,0.478167641325536,0.379359357297353,0.5421686746987951,-0.061403508771929856
111,xgboost,Gold-T+14,2016,2012–2015,987,247,8.5,0.5101214574898786,0.547134689535966,0.4771800927140733,0.5587044534412956,-0.1100917431192661
112,xgboost,Gold-T+14,2017,2013–2016,990,246,7.7706,0.4268292682926829,0.53,0.34489206187319393,0.6097560975609756,-0.46875
113,xgboost,Gold-T+14,2018,2014–2017,988,247,6.7626,0.5546558704453441,0.5349926401712832,0.5331615120274914,0.5708502024291497,-0.037735849056603606
114,xgboost,Gold-T+14,2019,2015–2018,989,248,6.7099,0.532258064516129,0.5605926128217382,0.5322276422764227,0.6088709677419355,-0.19587628865979392
115,xgboost,Gold-T+14,2020,2016–2019,988,251,6.1242,0.4103585657370518,0.4577260458839406,0.4062020460358056,0.6215139442231076,-0.5578947368421052
116,xgboost,Gold-T+14,2021,2017–2020,992,251,11.9837,0.450199203187251,0.5,0.31043956043956045,0.549800796812749,-0.22123893805309724
117,xgboost,Gold-T+14,2022,2018–2021,997,250,8.4449,0.576,0.5780679854042634,0.5698051948051948,0.508,0.13821138211382103
118,xgboost,Gold-T+14,2023,2019–2022,1000,247,6.4588,0.5546558704453441,0.5492786885245902,0.44195695037791655,0.5060728744939271,0.09836065573770494
119,xgboost,Gold-T+14,2024,2020–2023,999,249,6.8553,0.3172690763052209,0.5058139534883721,0.24914857386121753,0.6907630522088354,-1.207792207792208
120,xgboost,Gold-T+14,2025,2021–2024,997,177,7.3581,0.5988700564971752,0.5638686131386861,0.5340896452007563,0.7740112994350282,-0.7749999999999997
121,mlp,Gold-T+14,2015,2011–2014,989,249,5.5908,0.4497991967871486,0.49122807017543857,0.31024930747922436,0.5421686746987951,-0.20175438596491224
122,mlp,Gold-T+14,2016,2012–2015,987,247,6.7981,0.44129554655870445,0.5,0.3061797752808989,0.5587044534412956,-0.26605504587155976
123,mlp,Gold-T+14,2017,2013–2016,990,246,9.2267,0.3902439024390244,0.5,0.2807017543859649,0.6097560975609756,-0.5624999999999999
124,mlp,Gold-T+14,2018,2014–2017,988,247,6.3816,0.4251012145748988,0.49528301886792453,0.29829545454545453,0.5708502024291497,-0.3396226415094338
125,mlp,Gold-T+14,2019,2015–2018,989,248,11.7859,0.4717741935483871,0.48880316788420836,0.47135302253681555,0.6088709677419355,-0.35051546391752575
126,mlp,Gold-T+14,2020,2016–2019,988,251,5.8668,0.4701195219123506,0.532557354925776,0.4613646998079933,0.6215139442231076,-0.39999999999999997
127,mlp,Gold-T+14,2021,2017–2020,992,251,5.1623,0.47410358565737054,0.5177311786584584,0.38177339901477836,0.549800796812749,-0.16814159292035383
128,mlp,Gold-T+14,2022,2018–2021,997,250,5.2305,0.508,0.5,0.33687002652519893,0.508,0.0
129,mlp,Gold-T+14,2023,2019–2022,1000,247,6.5713,0.5060728744939271,0.5,0.33602150537634407,0.5060728744939271,0.0
130,mlp,Gold-T+14,2024,2020–2023,999,249,6.1057,0.5381526104417671,0.5186499546964664,0.5076259091768833,0.6907630522088354,-0.4935064935064936
131,mlp,Gold-T+14,2025,2021–2024,997,177,9.4879,0.6497175141242938,0.4551094890510949,0.44798792756539235,0.7740112994350282,-0.5499999999999998
132,ridge,Gold-T+21,2015,2011–2014,989,249,2.741,0.5863453815261044,0.53489906320095,0.4947897173249286,0.5742971887550201,0.028301886792452664
133,ridge,Gold-T+21,2016,2012–2015,987,247,2.9176,0.4979757085020243,0.5406208277703605,0.4653679653679653,0.5668016194331984,-0.1588785046728973
134,ridge,Gold-T+21,2017,2013–2016,990,246,3.0871,0.42276422764227645,0.5103448275862069,0.313874921433061,0.5894308943089431,-0.405940594059406
135,ridge,Gold-T+21,2018,2014–2017,988,247,3.0001,0.4777327935222672,0.5091260325073275,0.45896795884060926,0.562753036437247,-0.19444444444444436
136,ridge,Gold-T+21,2019,2015–2018,989,248,2.8071,0.6290322580645161,0.5370483357060538,0.4555173730431462,0.6008064516129032,0.07070707070707065
137,ridge,Gold-T+21,2020,2016–2019,988,251,2.9019,0.5617529880478087,0.5689555125725339,0.5616903733807468,0.5617529880478087,0.0
138,ridge,Gold-T+21,2021,2017–2020,992,251,2.9123,0.4940239043824701,0.5066399796670479,0.37374511306261177,0.5139442231075697,-0.04098360655737701
139,ridge,Gold-T+21,2022,2018–2021,997,250,2.9664,0.644,0.6404083204930663,0.6404040404040404,0.528,0.24576271186440676
140,ridge,Gold-T+21,2023,2019–2022,1000,247,2.8079,0.5708502024291497,0.5954629507330604,0.5448824920038937,0.5425101214574899,0.06194690265486712
141,ridge,Gold-T+21,2024,2020–2023,999,249,2.6484,0.25301204819277107,0.5,0.20192307692307693,0.7469879518072289,-1.952380952380952
142,ridge,Gold-T+21,2025,2021–2024,997,177,2.9362,0.7457627118644068,0.7305635540929658,0.671857619577308,0.807909604519774,-0.3235294117647058
143,et,Gold-T+21,2015,2011–2014,989,249,3.1363,0.42570281124497994,0.5,0.29859154929577464,0.5742971887550201,-0.349056603773585
144,et,Gold-T+21,2016,2012–2015,987,247,3.0401,0.4331983805668016,0.5,0.3022598870056497,0.5668016194331984,-0.3084112149532711
145,et,Gold-T+21,2017,2013–2016,990,246,3.1242,0.4186991869918699,0.506896551724138,0.3063590653652766,0.5894308943089431,-0.415841584158416
146,et,Gold-T+21,2018,2014–2017,988,247,3.5209,0.5506072874493927,0.5780042632560618,0.5408537504396027,0.562753036437247,-0.027777777777777783
147,et,Gold-T+21,2019,2015–2018,989,248,3.3567,0.592741935483871,0.6051454138702461,0.591246593449632,0.6008064516129032,-0.020202020202020186
148,et,Gold-T+21,2020,2016–2019,988,251,3.0242,0.43824701195219123,0.5,0.3047091412742382,0.5617529880478087,-0.28181818181818163
149,et,Gold-T+21,2021,2017–2020,992,251,2.7491,0.4860557768924303,0.5,0.32707774798927614,0.5139442231075697,-0.057377049180327815
150,et,Gold-T+21,2022,2018–2021,997,250,3.1255,0.528,0.5,0.34554973821989526,0.528,0.0
151,et,Gold-T+21,2023,2019–2022,1000,247,3.7881,0.5789473684210527,0.5647866860388324,0.5586254295532647,0.5425101214574899,0.07964601769911507
152,et,Gold-T+21,2024,2020–2023,999,249,3.0592,0.7469879518072289,0.5,0.42758620689655175,0.7469879518072289,0.0
153,et,Gold-T+21,2025,2021–2024,997,177,2.8749,0.807909604519774,0.5,0.446875,0.807909604519774,0.0
154,rf,Gold-T+21,2015,2011–2014,989,249,6.5414,0.42570281124497994,0.5,0.29859154929577464,0.5742971887550201,-0.349056603773585
155,rf,Gold-T+21,2016,2012–2015,987,247,6.7111,0.4331983805668016,0.5,0.3022598870056497,0.5668016194331984,-0.3084112149532711
156,rf,Gold-T+21,2017,2013–2016,990,246,7.3306,0.44308943089430897,0.5275862068965518,0.3502226849441841,0.5894308943089431,-0.35643564356435653
157,rf,Gold-T+21,2018,2014–2017,988,247,6.9032,0.43724696356275305,0.5,0.30422535211267604,0.562753036437247,-0.2870370370370369
158,rf,Gold-T+21,2019,2015–2018,989,248,7.3421,0.6048387096774194,0.6508033353670938,0.6011029411764706,0.6008064516129032,0.010101010101010093
159,rf,Gold-T+21,2020,2016–2019,988,251,6.8669,0.43824701195219123,0.5,0.3047091412742382,0.5617529880478087,-0.28181818181818163
160,rf,Gold-T+21,2021,2017–2020,992,251,11.1329,0.5258964143426295,0.5165205235735163,0.4594531009645837,0.5139442231075697,0.024590163934426208
161,rf,Gold-T+21,2022,2018–2021,997,250,12.3128,0.648,0.6531843862352337,0.6468926553672316,0.528,0.2542372881355932
162,rf,Gold-T+21,2023,2019–2022,1000,247,11.9075,0.46153846153846156,0.4739136177519482,0.45550527903469074,0.5425101214574899,-0.17699115044247785
163,rf,Gold-T+21,2024,2020–2023,999,249,8.2938,0.7469879518072289,0.5,0.42758620689655175,0.7469879518072289,0.0
164,rf,Gold-T+21,2025,2021–2024,997,177,7.3433,0.807909604519774,0.5,0.446875,0.807909604519774,0.0
165,catboost,Gold-T+21,2015,2011–2014,989,249,70.5195,0.6506024096385542,0.6506465232880327,0.6473260073260073,0.5742971887550201,0.17924528301886783
166,catboost,Gold-T+21,2016,2012–2015,987,247,53.8989,0.4979757085020243,0.5296061415220293,0.48375134843581447,0.5668016194331984,-0.1588785046728973
167,catboost,Gold-T+21,2017,2013–2016,990,246,60.6626,0.44715447154471544,0.5310344827586206,0.35725812648889577,0.5894308943089431,-0.3465346534653467
168,catboost,Gold-T+21,2018,2014–2017,988,247,53.3802,0.631578947368421,0.6334265920596855,0.6300265007489343,0.562753036437247,0.15740740740740736
169,catboost,Gold-T+21,2019,2015–2018,989,248,55.4934,0.5725806451612904,0.5866720900277947,0.5715775749674055,0.6008064516129032,-0.07070707070707065
170,catboost,Gold-T+21,2020,2016–2019,988,251,53.7335,0.5378486055776892,0.5147001934235977,0.5067759859059493,0.5617529880478087,-0.05454545454545449
171,catboost,Gold-T+21,2021,2017–2020,992,251,56.0834,0.545816733067729,0.5492438683441352,0.5404997430626927,0.5139442231075697,0.06557377049180321
172,catboost,Gold-T+21,2022,2018–2021,997,250,57.6504,0.6,0.5937981510015409,0.591529965361741,0.528,0.15254237288135583
173,catboost,Gold-T+21,2023,2019–2022,1000,247,75.3779,0.5546558704453441,0.5326905296526219,0.5094251047233858,0.5425101214574899,0.02654867256637169
174,catboost,Gold-T+21,2024,2020–2023,999,249,57.928,0.42168674698795183,0.5814132104454686,0.42093023255813955,0.7469879518072289,-1.2857142857142854
175,catboost,Gold-T+21,2025,2021–2024,997,177,63.4452,0.7570621468926554,0.7711846976552859,0.6946929279152794,0.807909604519774,-0.264705882352941
176,xgboost,Gold-T+21,2015,2011–2014,989,249,6.3806,0.5742971887550201,0.5,0.3647959183673469,0.5742971887550201,0.0
177,xgboost,Gold-T+21,2016,2012–2015,987,247,11.4564,0.4331983805668016,0.5,0.3022598870056497,0.5668016194331984,-0.3084112149532711
