,Model,Test_Year,Train_Years,Train_Rows,Test_Rows,Train_Time_Seconds,R2,RMSE,MAE,Total_Run_Time_Seconds,Target
62,xgboost,2022,2018–2021,997,250,10.516,-0.2646930802009042,0.02833643049438966,0.023210814484955742,168.633,Gold-T+7
63,xgboost,2023,2019–2022,1000,247,10.7206,-0.0022711201425875682,0.023189374058153186,0.018270421429280287,168.633,Gold-T+7
64,xgboost,2024,2020–2023,999,249,11.1385,-0.09951002051653468,0.02496278203501885,0.019564439959787364,168.633,Gold-T+7
65,xgboost,2025,2021–2024,997,177,23.6435,-0.1685274659177265,0.02884266140520389,0.022103268687184607,168.633,Gold-T+7
66,mlp,2015,2011–2014,989,249,10.1845,-0.025067989626420317,0.024943759177374476,0.019889499651067656,119.962,Gold-T+7
67,mlp,2016,2012–2015,987,247,9.4801,-0.004915948738052345,0.027611512623297665,0.021878571767988447,119.962,Gold-T+7
68,mlp,2017,2013–2016,990,246,9.7825,-0.03731703612174586,0.020351219340969555,0.01705217048735194,119.962,Gold-T+7
69,mlp,2018,2014–2017,988,247,10.9501,-0.07994627213736916,0.01504447586724385,0.012137297521292579,119.962,Gold-T+7
70,mlp,2019,2015–2018,989,248,9.1603,-0.02944174175071268,0.01936575196393273,0.014267894160359878,119.962,Gold-T+7
71,mlp,2020,2016–2019,988,251,9.4142,0.005760888772709083,0.03252839934466669,0.022386989231484817,119.962,Gold-T+7
72,mlp,2021,2017–2020,992,251,9.3461,-0.004831441595742669,0.02266301265142196,0.016928219133037232,119.962,Gold-T+7
73,mlp,2022,2018–2021,997,250,8.6912,0.005040880392532587,0.025133628365896492,0.020547242799295765,119.962,Gold-T+7
74,mlp,2023,2019–2022,1000,247,10.2114,-0.0273403015253455,0.023477593588487847,0.018768796130929098,119.962,Gold-T+7
75,mlp,2024,2020–2023,999,249,9.0249,-0.02324030535701449,0.024081426426811357,0.018676253398466153,119.962,Gold-T+7
76,mlp,2025,2021–2024,997,177,10.9948,-0.1909293488637236,0.029117820753710166,0.02244637320526763,119.962,Gold-T+7
77,ridge,2015,2011–2014,989,249,2.5964,-0.4041655377025122,0.0412034156143392,0.034248364916074296,42.49,Gold-T+14
78,ridge,2016,2012–2015,987,247,2.6841,-0.4306421119870554,0.047641801788943484,0.03880565280747352,42.49,Gold-T+14
79,ridge,2017,2013–2016,990,246,2.6094,-1.3311738661651327,0.040460289604565554,0.03384192847516266,42.49,Gold-T+14
80,ridge,2018,2014–2017,988,247,2.7309,-2.7667514292476123,0.03707371210583741,0.03052550196803676,42.49,Gold-T+14
81,ridge,2019,2015–2018,989,248,2.5742,-0.5186626022790382,0.030187727956289767,0.025167621634407666,42.49,Gold-T+14
82,ridge,2020,2016–2019,988,251,2.6373,-0.7357640133960517,0.051932261866210236,0.03874891066706303,42.49,Gold-T+14
83,ridge,2021,2017–2020,992,251,2.6415,-0.543296261826882,0.03863002546360169,0.030510701034394593,42.49,Gold-T+14
84,ridge,2022,2018–2021,997,250,2.6607,0.06296448563778867,0.03413532943755451,0.02776566916656741,42.49,Gold-T+14
85,ridge,2023,2019–2022,1000,247,2.8791,-0.13772413561778185,0.033980625550805235,0.02620540203972346,42.49,Gold-T+14
86,ridge,2024,2020–2023,999,249,2.7519,-0.7239798259884207,0.04157369952484899,0.033265549873155,42.49,Gold-T+14
87,ridge,2025,2021–2024,997,177,2.6734,0.0995466593294162,0.03164572399562263,0.025298746446294217,42.49,Gold-T+14
88,et,2015,2011–2014,989,249,4.291,-0.02450425613794449,0.03519499821005202,0.027979319760002373,53.548,Gold-T+14
89,et,2016,2012–2015,987,247,3.7255,-0.03014036697726996,0.04042694079416057,0.03274861027124656,53.548,Gold-T+14
90,et,2017,2013–2016,990,246,3.5907,-0.0873737980239715,0.027633194000914872,0.023316230373014543,53.548,Gold-T+14
91,et,2018,2014–2017,988,247,4.0294,-0.5040671174131097,0.02342697427020547,0.019402650221391555,53.548,Gold-T+14
92,et,2019,2015–2018,989,248,3.8451,-0.1546244197471165,0.026322076536537297,0.020610005413793618,53.548,Gold-T+14
93,et,2020,2016–2019,988,251,3.8319,-0.01602449639511061,0.039732325778037154,0.029685814352606445,53.548,Gold-T+14
94,et,2021,2017–2020,992,251,3.6681,-0.06720897129982673,0.03212366409464122,0.025013679104677184,53.548,Gold-T+14
95,et,2022,2018–2021,997,250,3.9277,0.02228687925056405,0.034868381947981635,0.028147517545426354,53.548,Gold-T+14
96,et,2023,2019–2022,1000,247,3.5877,-0.001610038850044626,0.031883223110762283,0.02570227824769887,53.548,Gold-T+14
97,et,2024,2020–2023,999,249,3.3834,-0.15072658793401073,0.03396555043447584,0.026592571053593233,53.548,Gold-T+14
98,et,2025,2021–2024,997,177,3.5848,-0.47308726695264136,0.04047610062867379,0.032420711939732824,53.548,Gold-T+14
99,rf,2015,2011–2014,989,249,6.6408,-0.024615309735150914,0.03519690568150398,0.027979468195106678,90.51,Gold-T+14
100,rf,2016,2012–2015,987,247,6.3562,-0.07156245992157739,0.04123171704637864,0.033251090382203814,90.51,Gold-T+14
101,rf,2017,2013–2016,990,246,7.1732,-0.0873737980239715,0.027633194000914872,0.023316230373014543,90.51,Gold-T+14
102,rf,2018,2014–2017,988,247,7.2968,0.01432459071576564,0.018964856162998794,0.015693151059588416,90.51,Gold-T+14
103,rf,2019,2015–2018,989,248,7.2698,-0.1546244197471165,0.026322076536537297,0.020610005413793618,90.51,Gold-T+14
104,rf,2020,2016–2019,988,251,6.4527,-0.01602449639511061,0.039732325778037154,0.029685814352606445,90.51,Gold-T+14
